cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
K562,K562,ENCSR696URR,TF ChIP-seq,ZNF512,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF512,"Richard Myers, HAIB",0,0,3,3xFLAG,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF817EJA,IDR thresholded peaks,True,67312.0,e902146507b7f8d5255d3e1b4b7f0f69,https://www.encodeproject.org/files/ENCFF817EJA/@@download/ENCFF817EJA.bed.gz
K562,K562,ENCSR744GHR,TF ChIP-seq,E2F5,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens E2F5,"Richard Myers, HAIB",0,0,5,3xFLAG,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF173QUY,IDR thresholded peaks,True,100306.0,8a96fec76b8ca5f6a49053f771395398,https://www.encodeproject.org/files/ENCFF173QUY/@@download/ENCFF173QUY.bed.gz
K562,K562,ENCSR427XYP,TF ChIP-seq,ZNF740,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF740,"Richard Myers, HAIB",0,0,3,3xFLAG,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF959SMC,IDR thresholded peaks,True,251360.0,c4629ee079fe91c3549958447238a8cd,https://www.encodeproject.org/files/ENCFF959SMC/@@download/ENCFF959SMC.bed.gz
K562,K562,ENCSR755CRA,TF ChIP-seq,ZKSCAN8,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZKSCAN8,"Richard Myers, HAIB",0,0,7,3xFLAG,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF109UVJ,IDR thresholded peaks,True,81652.0,b48e9cd401e02eccced7cf053e85fc69,https://www.encodeproject.org/files/ENCFF109UVJ/@@download/ENCFF109UVJ.bed.gz
K562,K562,ENCSR578KEN,TF ChIP-seq,USF2,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens USF2,"Richard Myers, HAIB",0,0,1,3xFLAG,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF289ZIR,IDR thresholded peaks,True,296929.0,b56a26efdacc99d462b55eccc4a8602e,https://www.encodeproject.org/files/ENCFF289ZIR/@@download/ENCFF289ZIR.bed.gz
K562,K562,ENCSR879KXD,TF ChIP-seq,RAD21,cohesin,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens RAD21,"Michael Snyder, Stanford",0,0,5,eGFP,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF057JFH,conservative IDR thresholded peaks,True,566848.0,0e638759eb09e8d0825d3d124b2c77d6,https://www.encodeproject.org/files/ENCFF057JFH/@@download/ENCFF057JFH.bed.gz
K562,K562,ENCSR392JVX,TF ChIP-seq,ELK1,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ELK1,"Richard Myers, HAIB",0,0,1,3xFLAG,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF586MZX,IDR thresholded peaks,True,13210.0,9b53c324c117cb28a957665cfe659da4,https://www.encodeproject.org/files/ENCFF586MZX/@@download/ENCFF586MZX.bed.gz
K562,K562,ENCSR163VTS,TF ChIP-seq,NFYA,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens NFYA,"Richard Myers, HAIB",0,0,5,3xFLAG,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF786CRW,IDR thresholded peaks,True,189662.0,9fd1a4986fde22bc030c9024ce1a0858,https://www.encodeproject.org/files/ENCFF786CRW/@@download/ENCFF786CRW.bed.gz
K562,K562,ENCSR744CXJ,TF ChIP-seq,ELF1,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ELF1,"Richard Myers, HAIB",0,0,2,3xFLAG,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF763MXW,IDR thresholded peaks,True,220013.0,dafa682f98b898ea2d8154dcdd6b894f,https://www.encodeproject.org/files/ENCFF763MXW/@@download/ENCFF763MXW.bed.gz
K562,K562,ENCSR645ZWR,TF ChIP-seq,IRF2,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens IRF2,"Richard Myers, HAIB",0,0,5,3xFLAG,False,"not selected: one experiment per target (conventional ChIP-seq over Mint-ChIP, then lab priority Bernstein>Snyder>Stamatoyannopoulos, then audit flags)",ENCFF430YXJ,IDR thresholded peaks,True,42222.0,6b1da25b7cdbe3f2993a8fa36995e18d,https://www.encodeproject.org/files/ENCFF430YXJ/@@download/ENCFF430YXJ.bed.gz
