cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
K562,K562,ENCSR659CCI,TF ChIP-seq,FOXK1,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens FOXK1,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF516ZWP,IDR thresholded peaks,True,146262.0,75c1c9c3f112abc93a360893ca845141,https://www.encodeproject.org/files/ENCFF516ZWP/@@download/ENCFF516ZWP.bed.gz
K562,K562,ENCSR279OXE,TF ChIP-seq,ZFP30,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZFP30,"Michael Snyder, Stanford",0,0,7,eGFP,True,,ENCFF141HPL,IDR thresholded peaks,True,17530.0,f7288daa4ec0aac4b16b283806eb2079,https://www.encodeproject.org/files/ENCFF141HPL/@@download/ENCFF141HPL.bed.gz
K562,K562,ENCSR427WZJ,TF ChIP-seq,ZNF143,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF143,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF596HNP,IDR thresholded peaks,True,140479.0,1dca3862eddaf90f497f993c1033238a,https://www.encodeproject.org/files/ENCFF596HNP/@@download/ENCFF596HNP.bed.gz
K562,K562,ENCSR506SSQ,TF ChIP-seq,ZNF354C,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF354C,"Michael Snyder, Stanford",0,0,7,eGFP,True,,ENCFF604RBX,IDR thresholded peaks,True,104777.0,451a9251eccca092cb25694413b0268c,https://www.encodeproject.org/files/ENCFF604RBX/@@download/ENCFF604RBX.bed.gz
K562,K562,ENCSR008DOU,TF ChIP-seq,SNAPC5,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens SNAPC5,"Michael Snyder, Stanford",0,0,7,eGFP,True,,ENCFF656THP,IDR thresholded peaks,True,13127.0,27215ed734f62f7ef788380f8747740e,https://www.encodeproject.org/files/ENCFF656THP/@@download/ENCFF656THP.bed.gz
K562,K562,ENCSR358PJI,TF ChIP-seq,ZNF277,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF277,"Michael Snyder, Stanford",0,0,8,eGFP,True,,ENCFF382QUI,IDR thresholded peaks,True,30047.0,515ac40710530b651921061fceb40e77,https://www.encodeproject.org/files/ENCFF382QUI/@@download/ENCFF382QUI.bed.gz
K562,K562,ENCSR015KAM,TF ChIP-seq,DMTF1,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens DMTF1,"Richard Myers, HAIB",0,0,7,3xFLAG,True,,ENCFF505INE,IDR thresholded peaks,True,99744.0,4d10b06c88fac5df35372a65bdcf6fd7,https://www.encodeproject.org/files/ENCFF505INE/@@download/ENCFF505INE.bed.gz
K562,K562,ENCSR124YFA,TF ChIP-seq,ZNF124,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF124,"Richard Myers, HAIB",0,0,1,3xFLAG,True,,ENCFF881MMD,IDR thresholded peaks,True,26434.0,a1b891edfaa3c0d1a10aa958aeb75c82,https://www.encodeproject.org/files/ENCFF881MMD/@@download/ENCFF881MMD.bed.gz
K562,K562,ENCSR609ZLF,TF ChIP-seq,ZNF431,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF431,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF442RYH,IDR thresholded peaks,True,187336.0,669a8026899ad806b39d40da6c2e66d1,https://www.encodeproject.org/files/ENCFF442RYH/@@download/ENCFF442RYH.bed.gz
K562,K562,ENCSR026RAK,TF ChIP-seq,MXD1,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MXD1,"Michael Snyder, Stanford",0,2,5,eGFP,True,,ENCFF559MTF,IDR thresholded peaks,True,57542.0,8fcfcbbc0cd8fbb395eb376b4bb25c41,https://www.encodeproject.org/files/ENCFF559MTF/@@download/ENCFF559MTF.bed.gz
